사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Mar.25,2호선,238,합정,144,17,10471,3194,16570,13107,38878,31582,51667,92655,35570,86639,28766,54738,31609,52151,37298,56453,41927,63280,44885,58839,50199,60676,59843,70220,80111,89181,117776,118353,82006,82283,69081,46410,75815,38546,70593,32540,36814,22455,5817,8611,3,193,0,0,0,0
Mar.25,2호선,239,홍대입구,1105,36,25907,3615,30471,16915,60909,42071,81015,116285,65601,157456,62582,126437,70495,146916,83799,169805,99226,186587,111964,178112,136805,179354,170161,192865,197766,218041,222994,256630,191955,185198,191456,115058,215743,94201,205245,73210,103812,50061,12518,19454,5,1854,0,0,0,0
Mar.25,2호선,240,신촌,88,5,7083,2640,14525,16475,36143,36159,54014,92868,41277,101463,41648,78731,49091,70612,61438,72636,66980,79825,71283,70476,80660,67881,97581,75653,113936,98621,111192,127564,81846,87193,83848,52797,90330,47072,89038,40564,43200,25842,6870,7176,4,160,0,0,0,0
Mar.25,2호선,241,이대,9,1,3367,903,9672,6594,27961,16675,39285,50744,25476,59124,22330,48329,24092,31600,31716,37953,32636,39664,32456,29705,42247,31745,45289,33469,56767,41655,53816,52239,32188,37883,28503,26888,28256,26489,20363,25298,7624,16912,970,4789,0,90,0,0,0,0
Mar.25,2호선,242,아현,21,1,4562,1019,11256,5066,30640,11821,43604,21965,26231,15093,19375,13451,18074,11162,19846,13434,19236,14781,17254,15952,19347,18362,22519,20891,21731,26763,21990,36056,13764,27802,10062,19516,8085,18845,5760,16244,2384,9014,323,2626,1,36,0,0,0,0
Mar.25,2호선,243,충정로(경기대입구),16,0,3422,1028,6734,6674,16102,26100,23292,61755,15462,27721,12710,13554,13028,12134,13457,12298,14335,15532,14746,13554,16621,14096,19610,15322,34588,18847,47634,23225,16518,16532,11421,12226,10337,11851,6803,10245,3029,6591,617,1999,0,55,0,0,0,0
Mar.25,2호선,244,용답,7,0,2132,342,3630,1321,8473,1981,13926,3996,8049,6174,5980,3879,5264,3349,5771,3875,5657,4732,5485,4616,6010,5585,7334,6793,6701,7952,4917,11926,3009,8082,2104,5920,1646,6983,1161,6371,538,3696,125,1100,0,0,0,0,0,0
Mar.25,2호선,245,신답,6,0,1185,71,2079,1017,6136,940,10699,1669,4339,1034,2911,1063,2485,1262,2321,1507,2351,1620,2172,2040,1987,2931,2246,3718,2388,4909,2118,9572,1143,6764,697,3603,544,3927,370,3155,197,1937,41,491,0,0,0,0,0,0
Mar.25,2호선,246,신설동,53,0,1053,295,1492,2034,5454,5367,9862,13994,6245,9897,6022,9332,6843,8184,8562,8267,9006,8844,9917,7231,10216,6589,10604,5926,12722,6535,13942,8296,5287,6001,3084,4691,2830,4263,1900,3883,886,2515,124,859,0,122,0,0,0,0
Mar.25,2호선,247,도림천,1,0,395,364,1357,939,3671,3897,3764,5353,2327,2262,2046,1613,1673,1292,2165,2032,1815,1573,2064,1844,2702,1782,3242,2196,3028,2756,3839,3496,1606,2903,968,2097,899,1707,540,1395,184,1011,31,316,2,8,2,0,0,0
Mar.25,2호선,248,양천구청,47,0,4894,935,12148,2871,33745,5406,30783,8613,18466,5562,13059,4557,11972,5499,11937,7075,10381,8565,8363,9350,8832,12321,9409,15387,9379,21224,9036,30895,4468,25704,3090,15159,2571,14307,2186,11181,745,8348,147,2534,0,13,0,0,0,0
Mar.25,2호선,249,신정네거리,89,0,8660,802,18761,2347,51450,4490,46357,11652,26578,8899,19265,8290,17582,8675,17884,10493,16223,12400,13399,14239,12277,18733,13265,24708,12856,33257,11968,50072,7923,37684,5843,21445,4682,20082,3701,17760,1673,10506,355,3198,0,176,0,0,0,0
Mar.25,2호선,250,용두(동대문구청),55,1,1022,86,1901,926,5674,2712,9074,5450,5631,3459,4646,4969,4457,3892,4876,3858,4883,4876,5393,4906,6254,5220,5793,5315,5380,5959,5961,9003,2925,6261,1942,4016,1680,3728,930,2551,402,1660,69,576,0,5,0,0,0,0
Mar.25,3호선,309,지축,34,0,3381,568,12175,3934,31989,6416,32782,12141,18415,8485,12589,6531,11234,6980,11883,7701,10606,9689,9959,10069,11256,12052,11566,15960,12718,20863,11634,31747,7968,24888,6699,16840,5378,14484,4466,12180,1865,6769,352,1171,0,0,0,0,0,0
Mar.25,3호선,310,구파발,162,3,12425,1691,34804,11100,86062,22148,82635,29359,48317,26939,34620,28171,33134,26577,34807,27470,33275,31515,33122,32629,38438,34523,42597,42069,39816,50999,31858,77443,21364,64437,17093,37938,14984,34658,11754,30843,3243,21887,522,8293,1,321,0,0,0,0
Mar.25,3호선,311,연신내,258,12,24886,2182,49352,13257,119769,29210,143947,43244,88784,40027,63081,37612,59683,40236,64447,43563,60721,47639,56149,52336,59383,64698,65560,75258,61856,94781,58561,136286,41144,112874,32668,71441,29227,64689,24000,54160,11878,34659,1878,11087,7,3,1,2,0,0
Mar.25,3호선,312,불광,16,4,9615,1407,19622,7027,53248,11523,64011,32808,39052,30796,28762,26270,28187,25850,29599,28381,30060,31607,30405,30991,32597,35500,33451,38447,32285,45278,32895,62809,19412,50067,14864,32682,11928,28498,8239,24421,3615,13926,626,4288,0,1,0,0,0,0
