업체명,모델명,연료,변속형식,차량형식,자동차 종류,도심주행연비,고속도로연비,CO2배출량(g_km),1회충전주행거리(km),배기량,등급,출시연도
기아,쏘렌토(MQ4) 2.5T-GDI 4WD 7인 18인치타이어,휘발유,자동,내연기관,승용차,9,11.8,168,,2497,4등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 2WD 7인 20인치타이어,휘발유,자동,내연기관,승용차,9.3,11.8,164,,2497,4등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 2WD 7인 18인치타이어,휘발유,자동,내연기관,승용차,9.5,12.4,159,,2497,4등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 2WD 5인 18인치타이어,휘발유,자동,내연기관,승용차,9.8,12.9,153,,2497,4등급,2020
기아,쏘렌토(MQ4) 2.5T-GDI 2WD 5인 18인치(빌트인캠),휘발유,자동,내연기관,승용차,9.8,12.7,154,,2497,4등급,2020
BMW,BMW 420d Coupe,경유,자동,내연기관,승용차,12.9,16.4,132,,1995,2등급,2020
BMW,BMW 540i xDrive,휘발유,자동,내연기관,승용차,8.6,12.2,170,,2998,4등급,2020
BMW,BMW 430i Coupe,휘발유,자동,내연기관,승용차,10,13,150,,1998,4등급,2020
포르쉐,911 터보 S 카브리올레,휘발유,자동,내연기관,승용차,6.1,8.1,257,,3745,5등급,2020
포르쉐,911 터보 S,휘발유,자동,내연기관,승용차,6.1,8.1,257,,3745,5등급,2020
기아,스팅어(CK PE) 3.3T-GDI 2WD_19인치(썸머),휘발유,자동,내연기관,승용차,7.9,10.2,192,,3342,5등급,2020
기아,스팅어(CK PE) 3.3T-GDI 2WD_19인치(올시즌),휘발유,자동,내연기관,승용차,7.9,10.7,192,,3342,5등급,2020
기아,스팅어(CK PE) 3.3T-GDI AWD_19인치(썸머),휘발유,자동,내연기관,승용차,7.4,10,202,,3342,5등급,2020
기아,스팅어(CK PE) 3.3T-GDI AWD_19인치(올시즌),휘발유,자동,내연기관,승용차,7.5,10.2,203,,3342,5등급,2020
MINI,MINI Cooper D Countryman ALL4,경유,자동,내연기관,승용차,13.2,16.5,130,,1995,2등급,2020
BMW,BMW X5 xDrive40i,휘발유,자동,내연기관,승용차,7.5,9.1,210,,2998,5등급,2020
BMW,BMW 520i,휘발유,자동,내연기관,승용차,10.9,14.8,135,,1998,3등급,2020
MINI,MINI Cooper Countryman ,휘발유,자동,내연기관,승용차,10.5,13.2,144,,1499,3등급,2020
BMW,BMW 630i xDrive,휘발유,자동,내연기관,승용차,8.2,11,186,,2998,5등급,2020
BMW,BMW 420i Coupe,휘발유,자동,내연기관,승용차,10.3,13.5,145,,1998,4등급,2020
BMW,BMW 218d Gran Coupe,경유,자동,내연기관,승용차,13.1,16.1,132,,1995,2등급,2020
BMW,BMW X7 M50i,휘발유,자동,내연기관,승용차,5.8,7.6,265,,4395,5등급,2020
MINI,MINI Cooper D Countryman ,경유,자동,내연기관,승용차,13.9,17,124,,1995,2등급,2020
MINI,MINI Cooper SD Countryman ALL4,경유,자동,내연기관,승용차,12.8,16.5,133,,1995,2등급,2020
현대,투싼 1.6T-GDI AWD 7DCT 19인치 (빌트인캠),휘발유,자동,내연기관,승용차,10.2,12,153,,1598,4등급,2020
현대,투싼 1.6T-GDI AWD 7DCT 18인치 (빌트인캠),휘발유,자동,내연기관,승용차,10.5,12.4,148,,1598,4등급,2020
현대,투싼 1.6T-GDI AWD 7DCT 17/18인치,휘발유,자동,내연기관,승용차,10.8,12.7,145,,1598,3등급,2020
현대,투싼 1.6T-GDI 2WD 7DCT 19인치 (빌트인캠),휘발유,자동,내연기관,승용차,11.1,13.2,139,,1598,3등급,2020
현대,투싼 1.6T-GDI 2WD 7DCT 18인치 (빌트인캠),휘발유,자동,내연기관,승용차,11.3,13.6,136,,1598,3등급,2020
현대,투싼 1.6T-GDI 2WD 7DCT 17/18인치,휘발유,자동,내연기관,승용차,11.5,13.8,133,,1598,3등급,2020
현대,투싼 2.0디젤 AWD 8AT 19인치 (빌트인캠),경유,자동,내연기관,승용차,11.7,14.8,148,,1998,3등급,2020
현대,투싼 2.0디젤 AWD 8AT 18인치 (빌트인캠),경유,자동,내연기관,승용차,11.7,15.4,145,,1998,3등급,2020
현대,투싼 2.0디젤 AWD 8AT 17/18인치,경유,자동,내연기관,승용차,11.9,15.5,144,,1998,3등급,2020
현대,투싼 2.0디젤 2WD 8AT 19인치 (빌트인캠),경유,자동,내연기관,승용차,12.7,15.6,137,,1998,2등급,2020
현대,투싼 2.0디젤 2WD 8AT 18인치 (빌트인캠),경유,자동,내연기관,승용차,12.9,16,134,,1998,2등급,2020
현대,투싼 2.0디젤 2WD 8AT 18인치,경유,자동,내연기관,승용차,12.9,16.3,133,,1998,2등급,2020
현대,투싼 2.0디젤 2WD 8AT 17인치,경유,자동,내연기관,승용차,13.5,16.7,128,,1998,2등급,2020
기아,스팅어(CK PE) 2.5T-GDI AWD_19인치(썸머),휘발유,자동,내연기관,승용차,8.9,11.5,172,,2497,4등급,2020
기아,스팅어(CK PE) 2.5T-GDI AWD_19인치(올시즌),휘발유,자동,내연기관,승용차,9,11.5,170,,2497,4등급,2020
BMW,BMW 530i,휘발유,자동,내연기관,승용차,10.6,14.2,139,,1998,3등급,2020
BMW,BMW 530i xDrive,휘발유,자동,내연기관,승용차,9.6,13.3,153,,1998,4등급,2020
MINI,MINI John Cooper Works Countryman ALL4,휘발유,자동,내연기관,승용차,9.1,12.7,162,,1998,4등급,2020
기아,스팅어(CK PE) 2.5T-GDI AWD_18인치타이어,휘발유,자동,내연기관,승용차,9.1,11.8,166,,2497,4등급,2020
BMW,BMW X5 xDrive40d,경유,자동,하이브리드,승용차,9.4,11.3,191,,2993,4등급,2020
기아,스팅어(CK PE) 2.5T-GDI 2WD_19인치(썸머),휘발유,자동,내연기관,승용차,9.6,12.1,160,,2497,4등급,2020
GM,CHEVROLET COLORADO AWD,휘발유,자동,내연기관,화물차,7.1,9.8,216,,3649,5등급,2020
GM,CHEVROLET COLORADO RWD,휘발유,자동,내연기관,화물차,7.3,10.1,210,,3649,5등급,2020
기아,스팅어(CK PE) 2.5T-GDI 2WD_19인치(올시즌),휘발유,자동,내연기관,승용차,9.7,12.4,156,,2497,4등급,2020
기아,스팅어(CK PE) 2.5T-GDI 2WD_18인치타이어,휘발유,자동,내연기관,승용차,9.8,13.4,151,,2497,4등급,2020
코리아에어카고,LSEV,전기,없음,전기,화물차,4.9,3.9,,115,,3등급,2020
BMW,BMW M5 Competition Package,휘발유,자동,내연기관,승용차,6.6,9.2,225,,4395,5등급,2020
현대,쏘나타(DN8) 2.0GDI 하이브리드_18인치타이어,휘발유,자동,하이브리드,승용차,18.1,17.8,88,,1999,1등급,2020
현대,쏘나타(DN8) 2.0GDI 하이브리드_18인치(빌트인캠),휘발유,자동,하이브리드,승용차,17.3,17.8,91,,1999,1등급,2020
현대,투싼 1.6T-GDI 하이브리드 6AT (빌트인캠),휘발유,자동,하이브리드,승용차,16.3,15.2,102,,1598,2등급,2020
현대,투싼 1.6T-GDI 하이브리드 6AT,휘발유,자동,하이브리드,승용차,16.9,15.3,99,,1598,1등급,2020
페라리,페라리 SF90 Stradale,전기+휘발유,자동,PHEV,승용차,10.5,12,163,15,3990,PHEV,2020
아우디,S5 Coupe TFSI,휘발유,자동,내연기관,승용차,8.2,11.5,183,,2995,4등급,2020
한국지엠,말리부 2.0 TURBO,휘발유,자동,내연기관,승용차,9.1,13,163,,1998,4등급,2020
BMW,BMW 320d,경유,자동,내연기관,승용차,13.4,17.3,126,,1995,2등급,2021
BMW,BMW 320d xDrive,경유,자동,내연기관,승용차,12.6,16.5,134,,1995,2등급,2021
GM,캐딜락 XT4,휘발유,자동,내연기관,승용차,8.8,11.8,173,,1998,4등급,2021
기아,카니발 3.5GDI 11인 18인치타이어,휘발유,자동,내연기관,승합차,8,11,188,,3470,5등급,2020
기아,카니발 3.5GDI 11인 18인치타이어(빌트인캠),휘발유,자동,내연기관,승합차,8,10.9,188,,3470,5등급,2020
기아,카니발 3.5GDI 7인 19인치타이어,휘발유,자동,내연기관,승용차,7.8,10.8,192,,3470,5등급,2020
기아,카니발 3.5GDI 7인 19인치타이어(빌트인캠),휘발유,자동,내연기관,승용차,7.8,10.8,193,,3470,5등급,2020
기아,카니발 3.5GDI 9인 18인치/19인치타이어,휘발유,자동,내연기관,승용차,8,11,187,,3470,5등급,2020
기아,카니발 2.2디젤 11인 18인치타이어(빌트인캠),경유,자동,내연기관,승합차,11.2,14.5,154,,2151,3등급,2020
기아,카니발 2.2디젤 11인 18인치타이어,경유,자동,내연기관,승합차,11.5,14.6,151,,2151,3등급,2020
기아,카니발 2.2디젤 9인 18인치/19인치타이어(빌트인캠),경유,자동,내연기관,승용차,11.8,14.9,147,,2151,3등급,2020
기아,카니발 2.2디젤 9인 18인치/19인치타이어,경유,자동,내연기관,승용차,11.8,15,146,,2151,3등급,2020
기아,카니발 2.2디젤 7인 19인치타이어(빌트인캠),경유,자동,내연기관,승용차,11.3,14.3,153,,2151,3등급,2020
페라리,페라리 SF90 Stradale Assetto Fiorano,전기+휘발유,자동,PHEV,승용차,10.5,12,163,15,3990,PHEV,2020
기아,카니발 2.2디젤 7인 19인치타이어,경유,자동,내연기관,승용차,11.3,14.5,153,,2151,3등급,2020
기아,카니발 3.5GDI 9인 18인치/19인치타이어 (빌트인캠),휘발유,자동,내연기관,승용차,8,10.9,188,,3470,5등급,2020
페라리,페라리 Roma,휘발유,자동,내연기관,승용차,6.5,9.1,237,,3855,5등급,2020
현대,싼타페 2.2디젤 2WD 5인 18인치타이어,경유,자동,내연기관,승용차,13,15.9,134,,2151,2등급,2020
현대,싼타페 2.2디젤 2WD 7인 18인치타이어,경유,자동,내연기관,승용차,13,15.9,134,,2151,2등급,2020
현대,싼타페 2.2디젤 AWD 5인 20인치타이어,경유,자동,내연기관,승용차,11.7,14.4,149,,2151,3등급,2020
현대,싼타페 2.2디젤 AWD 5인 18인치타이어(빌트인캠),경유,자동,내연기관,승용차,12,15.1,144,,2151,3등급,2020
